# orders -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate,clientDescription
# orders -- end,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# holdings -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,name,cash,cash__initial,STOCK_2147,STOCK_2147__initial,STOCK_2147__shorts,STOCK_2147__buy,STOCK_2147__sell
uleef,M01@utah.edu,36024,1202,46255,T007,3150,9275,49,49,0,true,true
uleef,M02@utah.edu,36025,1202,46255,T006,29200,32575,27,27,0,true,true
uleef,M03@utah.edu,36026,1202,46255,T000,26030,26030,0,0,0,true,true
uleef,M04@utah.edu,36027,1202,46255,T010,20840,23465,21,21,0,true,true
uleef,M05@utah.edu,36028,1202,46255,T011,23510,23635,1,1,0,true,true
uleef,M06@utah.edu,36029,1202,46255,T002,34100,35100,8,8,0,true,true
uleef,M07@utah.edu,36030,1202,46255,T004,22840,23840,8,8,0,true,true
uleef,M08@utah.edu,36031,1202,46255,T003,24330,26080,14,14,0,true,true
uleef,M09@utah.edu,36032,1202,46255,T008,22500,25000,20,20,0,true,true
uleef,M10@utah.edu,36033,1202,46255,T001,23500,25000,12,12,0,true,true
uleef,M11@utah.edu,36034,1202,46255,T005,22500,25000,20,20,0,true,true
uleef,M12@utah.edu,36035,1202,46255,T009,23500,25000,12,12,0,true,true
# holdings -- end,,,,,,,,,,,,,,,,,
