# orders -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate,clientDescription
# orders -- end,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# holdings -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,name,cash,cash__initial,STOCK_2147,STOCK_2147__initial,STOCK_2147__shorts,STOCK_2147__buy,STOCK_2147__sell
uleef,M01@utah.edu,36024,1202,46242,T007,16700,22200,11,0,0,FALSE,FALSE
uleef,M02@utah.edu,36025,1202,46242,T006,8645,19645,22,0,0,FALSE,FALSE
uleef,M03@utah.edu,36026,1202,46242,T000,12650,21150,17,0,0,FALSE,FALSE
uleef,M04@utah.edu,36027,1202,46242,T010,10000,20000,20,0,0,FALSE,FALSE
uleef,M05@utah.edu,36028,1202,46242,T011,23315,23815,1,0,0,FALSE,FALSE
uleef,M06@utah.edu,36029,1202,46242,T002,1840,17840,32,0,0,FALSE,FALSE
uleef,M07@utah.edu,36030,1202,46242,T004,10000,20000,20,0,0,FALSE,FALSE
uleef,M08@utah.edu,36031,1202,46242,T003,20850,23350,5,0,0,FALSE,FALSE
uleef,M09@utah.edu,36032,1202,46242,T008,10000,20000,20,0,0,FALSE,FALSE
uleef,M10@utah.edu,36033,1202,46242,T001,16000,22000,12,0,0,FALSE,FALSE
uleef,M11@utah.edu,36034,1202,46242,T005,10000,20000,20,0,0,FALSE,FALSE
uleef,M12@utah.edu,36035,1202,46242,T009,16000,22000,12,0,0,FALSE,FALSE
# holdings -- end,,,,,,,,,,,,,,,,,
