"account","email","owner","marketplace","session","name","cash","cash__initial","STOCK_2146","STOCK_2146__initial","STOCK_2146__shorts","STOCK_2146__buy","STOCK_2146__sell"
"uleef","M01@utah.edu",36024,1201,46288,"T003",19980,19815,2,4,0,"true","true"
"uleef","M02@utah.edu",36025,1201,46288,"T009",23555,23265,5,9,0,"true","true"
"uleef","M03@utah.edu",36026,1201,46288,"T000",27820,27820,1,1,0,"true","true"
"uleef","M04@utah.edu",36027,1201,46288,"T008",18140,18140,17,17,0,"true","true"
"uleef","M05@utah.edu",36028,1201,46288,"T006",28390,27405,0,13,0,"true","true"
"uleef","M06@utah.edu",36029,1201,46288,"T007",33370,33580,29,26,0,"true","true"
"uleef","M07@utah.edu",36030,1201,46288,"T005",23660,24890,58,42,0,"true","true"
"uleef","M08@utah.edu",36031,1201,46288,"T002",15485,15485,16,16,0,"true","true"
"uleef","M09@utah.edu",36032,1201,46288,"T004",23500,23500,20,20,0,"true","true"
"uleef","M10@utah.edu",36033,1201,46288,"T010",24100,24100,12,12,0,"true","true"
"uleef","M11@utah.edu",36034,1201,46288,"T011",23500,23500,20,20,0,"true","true"
"uleef","M12@utah.edu",36035,1201,46288,"T001",24100,24100,12,12,0,"true","true"
