# orders -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate,clientDescription
# orders -- end,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# holdings -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,name,cash,cash__initial,STOCK_2146,STOCK_2146__initial,STOCK_2146__shorts,STOCK_2146__buy,STOCK_2146__sell
uleef,M01@utah.edu,36024,1201,46289,T003,20030,3008,2,0,0,FALSE,FALSE
uleef,M02@utah.edu,36025,1201,46289,T009,23775,3385,3,0,0,FALSE,FALSE
uleef,M03@utah.edu,36026,1201,46289,T000,27845,3787,1,0,0,FALSE,FALSE
uleef,M04@utah.edu,36027,1201,46289,T008,18565,2899,17,0,0,FALSE,FALSE
uleef,M05@utah.edu,36028,1201,46289,T006,28295,3834.5,2,0,0,FALSE,FALSE
uleef,M06@utah.edu,36029,1201,46289,T007,34095,4482,29,0,0,FALSE,FALSE
uleef,M07@utah.edu,36030,1201,46289,T005,25110,3656,58,0,0,FALSE,FALSE
uleef,M08@utah.edu,36031,1201,46289,T002,15885,2628.5,16,0,0,FALSE,FALSE
uleef,M09@utah.edu,36032,1201,46289,T004,24000,3450,20,0,0,FALSE,FALSE
uleef,M10@utah.edu,36033,1201,46289,T010,24400,3470,12,0,0,FALSE,FALSE
uleef,M11@utah.edu,36034,1201,46289,T011,24000,3450,20,0,0,FALSE,FALSE
uleef,M12@utah.edu,36035,1201,46289,T001,24400,3470,12,0,0,FALSE,FALSE
# holdings -- end,,,,,,,,,,,,,,,,,
