"account","email","owner","marketplace","session","name","cash","cash__initial","STOCK_2146","STOCK_2146__initial","STOCK_2146__shorts","STOCK_2146__buy","STOCK_2146__sell"
"uleef","M01@utah.edu",36024,1201,46282,"T003",21190,21190,1,1,0,"true","true"
"uleef","M02@utah.edu",36025,1201,46282,"T009",20040,18275,10,12,0,"true","true"
"uleef","M03@utah.edu",36026,1201,46282,"T000",25605,24720,3,4,0,"true","true"
"uleef","M04@utah.edu",36027,1201,46282,"T008",18895,18020,10,11,0,"true","true"
"uleef","M05@utah.edu",36028,1201,46282,"T006",25010,24125,12,13,0,"true","true"
"uleef","M06@utah.edu",36029,1201,46282,"T007",2130,2130,53,53,0,"true","true"
"uleef","M07@utah.edu",36030,1201,46282,"T005",14700,18230,38,34,0,"true","true"
"uleef","M08@utah.edu",36031,1201,46282,"T002",21230,22110,1,0,0,"true","true"
"uleef","M09@utah.edu",36032,1201,46282,"T004",17000,17000,20,20,0,"true","true"
"uleef","M10@utah.edu",36033,1201,46282,"T010",20200,20200,12,12,0,"true","true"
"uleef","M11@utah.edu",36034,1201,46282,"T011",17000,17000,20,20,0,"true","true"
"uleef","M12@utah.edu",36035,1201,46282,"T001",20200,20200,12,12,0,"true","true"
