# orders -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate,clientDescription
# orders -- end,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# holdings -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,name,cash,cash__initial,STOCK_2147,STOCK_2147__initial,STOCK_2147__shorts,STOCK_2147__buy,STOCK_2147__sell
uleef,M01@utah.edu,36024,1202,46329,T007,14785,14785,15,15,0,true,true
uleef,M02@utah.edu,36025,1202,46329,T006,26600,26600,0,0,0,true,true
uleef,M03@utah.edu,36026,1202,46329,T000,18735,18735,9,9,0,true,true
uleef,M04@utah.edu,36027,1202,46329,T010,26150,26150,5,5,0,true,true
uleef,M05@utah.edu,36028,1202,46329,T011,22710,22710,8,8,0,true,true
uleef,M06@utah.edu,36029,1202,46329,T002,11210,11210,30,30,0,true,true
uleef,M07@utah.edu,36030,1202,46329,T004,3300,3300,40,40,0,true,true
uleef,M08@utah.edu,36031,1202,46329,T003,15710,15710,21,21,0,true,true
uleef,M09@utah.edu,36032,1202,46329,T008,15500,15500,20,20,0,true,true
uleef,M10@utah.edu,36033,1202,46329,T001,19300,19300,12,12,0,true,true
uleef,M11@utah.edu,36034,1202,46329,T005,15500,15500,20,20,0,true,true
uleef,M12@utah.edu,36035,1202,46329,T009,19300,19300,12,12,0,true,true
# holdings -- end,,,,,,,,,,,,,,,,,
