# orders -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate,clientDescription
# orders -- end,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# holdings -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,name,cash,cash__initial,STOCK_2147,STOCK_2147__initial,STOCK_2147__shorts,STOCK_2147__buy,STOCK_2147__sell
uleef,M01@utah.edu,36024,1202,46321,T007,22380,22380,0,0,0,FALSE,FALSE
uleef,M02@utah.edu,36025,1202,46321,T006,14140,26740,14,0,0,FALSE,FALSE
uleef,M03@utah.edu,36026,1202,46321,T000,14000,28400,16,0,0,FALSE,FALSE
uleef,M04@utah.edu,36027,1202,46321,T010,10000,28000,20,0,0,FALSE,FALSE
uleef,M05@utah.edu,36028,1202,46321,T011,14500,28000,15,0,0,FALSE,FALSE
uleef,M06@utah.edu,36029,1202,46321,T002,10000,28000,20,0,0,FALSE,FALSE
uleef,M07@utah.edu,36030,1202,46321,T004,4480,29680,28,0,0,FALSE,FALSE
uleef,M08@utah.edu,36031,1202,46321,T003,14500,28000,15,0,0,FALSE,FALSE
uleef,M09@utah.edu,36032,1202,46321,T008,10000,28000,20,0,0,FALSE,FALSE
uleef,M10@utah.edu,36033,1202,46321,T001,16000,26800,12,0,0,FALSE,FALSE
uleef,M11@utah.edu,36034,1202,46321,T005,10000,28000,20,0,0,FALSE,FALSE
uleef,M12@utah.edu,36035,1202,46321,T009,16000,26800,12,0,0,FALSE,FALSE
# holdings -- end,,,,,,,,,,,,,,,,,
