# orders -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate,clientDescription
# orders -- end,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# holdings -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,name,cash,cash__initial,STOCK_2147,STOCK_2147__initial,STOCK_2147__shorts,STOCK_2147__buy,STOCK_2147__sell
uleef,M01@utah.edu,36024,1202,46324,T007,16680,17930,10,10,0,true,true
uleef,M02@utah.edu,36025,1202,46324,T006,21830,22455,5,5,0,true,true
uleef,M03@utah.edu,36026,1202,46324,T000,25300,25300,0,0,0,true,true
uleef,M04@utah.edu,36027,1202,46324,T010,14540,16665,17,17,0,true,true
uleef,M05@utah.edu,36028,1202,46324,T011,12365,14990,21,21,0,true,true
uleef,M06@utah.edu,36029,1202,46324,T002,5850,9600,30,30,0,true,true
uleef,M07@utah.edu,36030,1202,46324,T004,6805,10430,29,29,0,true,true
uleef,M08@utah.edu,36031,1202,46324,T003,16630,18630,16,16,0,true,true
uleef,M09@utah.edu,36032,1202,46324,T008,12500,15000,20,20,0,true,true
uleef,M10@utah.edu,36033,1202,46324,T001,17500,19000,12,12,0,true,true
uleef,M11@utah.edu,36034,1202,46324,T005,12500,15000,20,20,0,true,true
uleef,M12@utah.edu,36035,1202,46324,T009,17500,19000,12,12,0,true,true
# holdings -- end,,,,,,,,,,,,,,,,,
