"account","email","owner","marketplace","session","name","cash","cash__initial","STOCK_2146","STOCK_2146__initial","STOCK_2146__shorts","STOCK_2146__buy","STOCK_2146__sell"
"uleef","M01@utah.edu",36024,1201,113640,"T003",22830,16000,2,12,0,"true","true"
"uleef","M02@utah.edu",36025,1201,113640,"T009",10000,10000,20,20,0,"true","true"
"uleef","M03@utah.edu",36026,1201,113640,"T000",9650,16000,23,12,0,"true","true"
"uleef","M04@utah.edu",36027,1201,113640,"T008",10000,10000,20,20,0,"true","true"
"uleef","M05@utah.edu",36028,1201,113640,"T006",19705,16000,6,12,0,"true","true"
"uleef","M06@utah.edu",36029,1201,113640,"T007",21040,10000,0,20,0,"true","true"
"uleef","M07@utah.edu",36030,1201,113640,"T005",10630,10000,19,20,0,"true","true"
"uleef","M08@utah.edu",36031,1201,113640,"T002",16000,16000,12,12,0,"true","true"
"uleef","M09@utah.edu",36032,1201,113640,"T004",10000,10000,20,20,0,"true","true"
"uleef","M10@utah.edu",36033,1201,113640,"T010",145,16000,38,12,0,"true","true"
"uleef","M11@utah.edu",36034,1201,113640,"T011",10000,10000,20,20,0,"true","true"
"uleef","M12@utah.edu",36035,1201,113640,"T001",16000,16000,12,12,0,"true","true"
