# orders -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate,clientDescription
# orders -- end,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# holdings -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,name,cash,cash__initial,STOCK_2146,STOCK_2146__initial,STOCK_2146__shorts,STOCK_2146__buy,STOCK_2146__sell
uleef,M01@utah.edu,36024,1201,113584,T003,22085,22085,0,0,0,FALSE,FALSE
uleef,M02@utah.edu,36025,1201,113584,T009,15070,23870,11,0,0,FALSE,FALSE
uleef,M03@utah.edu,36026,1201,113584,T000,19345,24145,6,0,0,FALSE,FALSE
uleef,M04@utah.edu,36027,1201,113584,T008,9450,26250,21,0,0,FALSE,FALSE
uleef,M05@utah.edu,36028,1201,113584,T006,14980,26180,14,0,0,FALSE,FALSE
uleef,M06@utah.edu,36029,1201,113584,T007,6925,27725,26,0,0,FALSE,FALSE
uleef,M07@utah.edu,36030,1201,113584,T005,14730,23530,11,0,0,FALSE,FALSE
uleef,M08@utah.edu,36031,1201,113584,T002,1415,32615,39,0,0,FALSE,FALSE
uleef,M09@utah.edu,36032,1201,113584,T004,10000,26000,20,0,0,FALSE,FALSE
uleef,M10@utah.edu,36033,1201,113584,T010,16000,25600,12,0,0,FALSE,FALSE
uleef,M11@utah.edu,36034,1201,113584,T011,10000,26000,20,0,0,FALSE,FALSE
uleef,M12@utah.edu,36035,1201,113584,T001,16000,25600,12,0,0,FALSE,FALSE
# holdings -- end,,,,,,,,,,,,,,,,,
