# orders -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate,clientDescription
# orders -- end,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# holdings -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,name,cash,cash__initial,STOCK_2146,STOCK_2146__initial,STOCK_2146__shorts,STOCK_2146__buy,STOCK_2146__sell
uleef,M01@utah.edu,36024,1201,113589,T003,22835,23085,5,5,0,true,true
uleef,M02@utah.edu,36025,1201,113589,T009,8980,10730,35,35,0,true,true
uleef,M03@utah.edu,36026,1201,113589,T000,3980,5980,40,40,0,true,true
uleef,M04@utah.edu,36027,1201,113589,T008,20640,20690,1,1,0,true,true
uleef,M05@utah.edu,36028,1201,113589,T006,18270,18720,9,9,0,true,true
uleef,M06@utah.edu,36029,1201,113589,T007,12575,13975,28,28,0,true,true
uleef,M07@utah.edu,36030,1201,113589,T005,22620,22620,0,0,0,true,true
uleef,M08@utah.edu,36031,1201,113589,T002,19700,20200,10,10,0,true,true
uleef,M09@utah.edu,36032,1201,113589,T004,14000,15000,20,20,0,true,true
uleef,M10@utah.edu,36033,1201,113589,T010,18400,19000,12,12,0,true,true
uleef,M11@utah.edu,36034,1201,113589,T011,14000,15000,20,20,0,true,true
uleef,M12@utah.edu,36035,1201,113589,T001,18400,19000,12,12,0,true,true
# holdings -- end,,,,,,,,,,,,,,,,,
