"account","email","owner","marketplace","session","name","cash","cash__initial","STOCK_2146","STOCK_2146__initial","STOCK_2146__shorts","STOCK_2146__buy","STOCK_2146__sell"
"uleef","M01@utah.edu",36024,1201,113757,"T003",21240,20150,1,4,0,"true","true"
"uleef","M02@utah.edu",36025,1201,113757,"T009",21230,18310,4,12,0,"true","true"
"uleef","M03@utah.edu",36026,1201,113757,"T000",10145,20360,44,16,0,"true","true"
"uleef","M04@utah.edu",36027,1201,113757,"T008",23180,21355,5,10,0,"true","true"
"uleef","M05@utah.edu",36028,1201,113757,"T006",8240,8240,67,67,0,"true","true"
"uleef","M06@utah.edu",36029,1201,113757,"T007",38830,38830,0,0,0,"true","true"
"uleef","M07@utah.edu",36030,1201,113757,"T005",15950,13030,0,8,0,"true","true"
"uleef","M08@utah.edu",36031,1201,113757,"T002",19585,18125,7,11,0,"true","true"
"uleef","M09@utah.edu",36032,1201,113757,"T004",18500,18500,20,20,0,"true","true"
"uleef","M10@utah.edu",36033,1201,113757,"T010",21100,21100,12,12,0,"true","true"
"uleef","M11@utah.edu",36034,1201,113757,"T011",18500,18500,20,20,0,"true","true"
"uleef","M12@utah.edu",36035,1201,113757,"T001",21100,21100,12,12,0,"true","true"
