# orders -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate,clientDescription
# orders -- end,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# holdings -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,name,cash,cash__initial,STOCK_2146,STOCK_2146__initial,STOCK_2146__shorts,STOCK_2146__buy,STOCK_2146__sell
uleef,M01@utah.edu,36024,1201,113627,T003,36625,4700,0,0,0,FALSE,FALSE
uleef,M02@utah.edu,36025,1201,113627,T009,17290,2700,6,0,0,FALSE,FALSE
uleef,M03@utah.edu,36026,1201,113627,T000,16890,2800,30,0,0,FALSE,FALSE
uleef,M04@utah.edu,36027,1201,113627,T008,28660,3900,0,0,0,FALSE,FALSE
uleef,M05@utah.edu,36028,1201,113627,T006,9090,2000,34,0,0,FALSE,FALSE
uleef,M06@utah.edu,36029,1201,113627,T007,18705,2900,5,0,0,FALSE,FALSE
uleef,M07@utah.edu,36030,1201,113627,T005,34505,4000,0,0,0,FALSE,FALSE
uleef,M08@utah.edu,36031,1201,113627,T002,15835,2800,53,0,0,FALSE,FALSE
uleef,M09@utah.edu,36032,1201,113627,T004,21500,1000,20,0,0,FALSE,FALSE
uleef,M10@utah.edu,36033,1201,113627,T010,22900,1000,12,0,0,FALSE,FALSE
uleef,M11@utah.edu,36034,1201,113627,T011,21500,1000,20,0,0,FALSE,FALSE
uleef,M12@utah.edu,36035,1201,113627,T001,22900,1000,12,0,0,FALSE,FALSE
# holdings -- end,,,,,,,,,,,,,,,,,
